t_s,phase,speed_index,omega_cmd_rad_s,dir,pos_ref_target,vel_ref_target,kp_target,kd_target,t_ref_target,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,tau1_nm,tau2_nm,tau3_nm,tau4_nm,tau5_nm,tau6_nm
4.237056,vel_pos,0,0.050000,1,-0.029504,0.050000,20.000,1.000,0.000,-0.030000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.127575,0.711112,-0.322481,0.006709,-1.138627,-0.044088
4.239070,vel_pos,0,0.050000,1,-0.029403,0.050000,20.000,1.000,0.000,-0.030000,-0.003000,0.000000,0.000000,0.023000,0.001000,-0.008269,0.712294,-0.322481,-0.007668,-1.167380,-0.051756
4.241055,vel_pos,0,0.050000,1,-0.029304,0.050000,20.000,1.000,0.000,-0.030000,-0.003000,0.000000,0.000000,0.023000,0.001000,-0.008269,0.712294,-0.322481,-0.007668,-1.167380,-0.051756
4.243086,vel_pos,0,0.050000,1,-0.029202,0.050000,20.000,1.000,0.000,-0.030000,-0.003000,0.000000,0.000000,0.023000,0.001000,-0.008269,0.712294,-0.321300,-0.007668,-1.167380,-0.051756
4.245060,vel_pos,0,0.050000,1,-0.029104,0.050000,20.000,1.000,0.000,-0.030000,-0.003000,0.000000,0.000000,0.023000,0.001000,-0.008269,0.712294,-0.321300,-0.007668,-1.167380,-0.064215
4.247056,vel_pos,0,0.050000,1,-0.029004,0.050000,20.000,1.000,0.000,-0.030000,-0.003000,0.000000,0.000000,0.023000,0.001000,-0.008269,0.712294,-0.321300,-0.007668,-1.167380,-0.064215
4.249196,vel_pos,0,0.050000,1,-0.028897,0.050000,20.000,1.000,0.000,-0.030000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.083869,0.717019,-0.313031,0.000000,-1.175047,-0.042171
4.251056,vel_pos,0,0.050000,1,-0.028804,0.050000,20.000,1.000,0.000,-0.030000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.083869,0.717019,-0.313031,0.000000,-1.175047,-0.042171
4.253084,vel_pos,0,0.050000,1,-0.028702,0.050000,20.000,1.000,0.000,-0.030000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.137025,0.704025,-0.308306,0.009584,-1.178881,-0.042171
4.255045,vel_pos,0,0.050000,1,-0.028604,0.050000,20.000,1.000,0.000,-0.030000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.137025,0.704025,-0.308306,0.009584,-1.178881,-0.042171
4.257066,vel_pos,0,0.050000,1,-0.028503,0.050000,20.000,1.000,0.000,-0.030000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.137025,0.704025,-0.308306,0.009584,-1.178881,-0.042171
4.259395,vel_pos,0,0.050000,1,-0.028387,0.050000,20.000,1.000,0.000,-0.030000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.137025,0.704025,-0.308306,0.009584,-1.178881,-0.029712
4.261058,vel_pos,0,0.050000,1,-0.028304,0.050000,20.000,1.000,0.000,-0.030000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.137025,0.704025,-0.308306,0.009584,-1.178881,-0.029712
4.263068,vel_pos,0,0.050000,1,-0.028203,0.050000,20.000,1.000,0.000,-0.029000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.203175,0.698119,-0.315394,0.009584,-1.178881,-0.029712
4.265057,vel_pos,0,0.050000,1,-0.028104,0.050000,20.000,1.000,0.000,-0.029000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.203175,0.698119,-0.315394,-0.006709,-1.170255,-0.051756
4.267065,vel_pos,0,0.050000,1,-0.028003,0.050000,20.000,1.000,0.000,-0.029000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.203175,0.698119,-0.315394,-0.006709,-1.170255,-0.051756
4.269075,vel_pos,0,0.050000,1,-0.027903,0.050000,20.000,1.000,0.000,-0.029000,-0.003000,0.000000,0.000000,0.023000,0.001000,-0.005906,0.692213,-0.305944,0.003834,-1.159712,-0.051756
4.271066,vel_pos,0,0.050000,1,-0.027803,0.050000,20.000,1.000,0.000,-0.029000,-0.003000,0.000000,0.000000,0.023000,0.001000,-0.005906,0.692213,-0.305944,0.003834,-1.159712,-0.051756
4.273111,vel_pos,0,0.050000,1,-0.027701,0.050000,20.000,1.000,0.000,-0.029000,-0.003000,0.000000,0.000000,0.023000,0.001000,-0.005906,0.704025,-0.305944,0.003834,-1.159712,-0.051756
4.275062,vel_pos,0,0.050000,1,-0.027604,0.050000,20.000,1.000,0.000,-0.029000,-0.003000,0.000000,0.000000,0.023000,0.001000,-0.005906,0.704025,-0.305944,0.001917,-1.159712,-0.063257
4.277067,vel_pos,0,0.050000,1,-0.027503,0.050000,20.000,1.000,0.000,-0.029000,-0.003000,0.000000,0.000000,0.023000,0.001000,-0.005906,0.704025,-0.305944,0.001917,-1.159712,-0.063257
4.279170,vel_pos,0,0.050000,1,-0.027398,0.050000,20.000,1.000,0.000,-0.029000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.197269,0.704025,-0.305944,0.001917,-1.166421,-0.058465
4.281067,vel_pos,0,0.050000,1,-0.027303,0.050000,20.000,1.000,0.000,-0.029000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.197269,0.704025,-0.305944,0.001917,-1.166421,-0.058465
4.283115,vel_pos,0,0.050000,1,-0.027201,0.050000,20.000,1.000,0.000,-0.028000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.108675,0.706387,-0.315394,0.001917,-1.166421,-0.058465
4.285058,vel_pos,0,0.050000,1,-0.027104,0.050000,20.000,1.000,0.000,-0.028000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.108675,0.706387,-0.315394,0.006709,-1.172172,-0.052714
4.287064,vel_pos,0,0.050000,1,-0.027003,0.050000,20.000,1.000,0.000,-0.028000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.108675,0.706387,-0.315394,0.006709,-1.172172,-0.052714
4.289261,vel_pos,0,0.050000,1,-0.026894,0.050000,20.000,1.000,0.000,-0.028000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.160650,0.699300,-0.315394,0.004792,-1.164505,-0.052714
4.291064,vel_pos,0,0.050000,1,-0.026803,0.050000,20.000,1.000,0.000,-0.028000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.160650,0.699300,-0.315394,0.004792,-1.164505,-0.052714
4.293100,vel_pos,0,0.050000,1,-0.026702,0.050000,20.000,1.000,0.000,-0.028000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.160650,0.699300,-0.315394,0.004792,-1.164505,-0.052714
4.295084,vel_pos,0,0.050000,1,-0.026602,0.050000,20.000,1.000,0.000,-0.028000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.160650,0.699300,-0.315394,0.004792,-1.164505,-0.061340
4.297066,vel_pos,0,0.050000,1,-0.026503,0.050000,20.000,1.000,0.000,-0.028000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.160650,0.699300,-0.315394,0.004792,-1.164505,-0.061340
4.299084,vel_pos,0,0.050000,1,-0.026402,0.050000,20.000,1.000,0.000,-0.028000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.075600,0.704025,-0.318937,0.004792,-1.174089,-0.061340
4.301066,vel_pos,0,0.050000,1,-0.026303,0.050000,20.000,1.000,0.000,-0.028000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.075600,0.704025,-0.318937,0.004792,-1.174089,-0.060382
4.303214,vel_pos,0,0.050000,1,-0.026196,0.050000,20.000,1.000,0.000,-0.028000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.199631,0.704025,-0.318937,0.004792,-1.174089,-0.060382
4.305102,vel_pos,0,0.050000,1,-0.026102,0.050000,20.000,1.000,0.000,-0.028000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.199631,0.719381,-0.315394,0.007668,-1.159712,-0.060382
4.307064,vel_pos,0,0.050000,1,-0.026003,0.050000,20.000,1.000,0.000,-0.028000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.199631,0.719381,-0.315394,0.007668,-1.159712,-0.060382
4.309084,vel_pos,0,0.050000,1,-0.025902,0.050000,20.000,1.000,0.000,-0.027000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.102769,0.709931,-0.315394,0.003834,-1.169297,-0.054631
4.311066,vel_pos,0,0.050000,1,-0.025803,0.050000,20.000,1.000,0.000,-0.027000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.102769,0.709931,-0.315394,0.003834,-1.169297,-0.054631
4.313145,vel_pos,0,0.050000,1,-0.025699,0.050000,20.000,1.000,0.000,-0.027000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.102769,0.709931,-0.315394,0.003834,-1.169297,-0.054631
4.315058,vel_pos,0,0.050000,1,-0.025604,0.050000,20.000,1.000,0.000,-0.027000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.102769,0.709931,-0.326025,0.003834,-1.169297,-0.046005
4.317066,vel_pos,0,0.050000,1,-0.025503,0.050000,20.000,1.000,0.000,-0.027000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.102769,0.709931,-0.326025,0.003834,-1.169297,-0.046005
4.319097,vel_pos,0,0.050000,1,-0.025402,0.050000,20.000,1.000,0.000,-0.027000,-0.003000,0.000000,0.000000,0.023000,0.001000,-0.015356,0.706387,-0.324844,-0.000958,-1.160671,-0.049839
4.321066,vel_pos,0,0.050000,1,-0.025303,0.050000,20.000,1.000,0.000,-0.027000,-0.003000,0.000000,0.000000,0.023000,0.001000,-0.015356,0.706387,-0.324844,-0.000958,-1.160671,-0.049839
4.323058,vel_pos,0,0.050000,1,-0.025204,0.050000,20.000,1.000,0.000,-0.027000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.216169,0.702844,-0.324844,-0.000958,-1.160671,-0.049839
4.325132,vel_pos,0,0.050000,1,-0.025100,0.050000,20.000,1.000,0.000,-0.027000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.216169,0.702844,-0.314213,0.000000,-1.168338,-0.049839
4.327067,vel_pos,0,0.050000,1,-0.025003,0.050000,20.000,1.000,0.000,-0.027000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.216169,0.702844,-0.314213,0.000000,-1.168338,-0.049839
4.329115,vel_pos,0,0.050000,1,-0.024901,0.050000,20.000,1.000,0.000,-0.027000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.216169,0.702844,-0.314213,0.000000,-1.168338,-0.055590
4.331065,vel_pos,0,0.050000,1,-0.024803,0.050000,20.000,1.000,0.000,-0.027000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.216169,0.702844,-0.314213,0.000000,-1.168338,-0.055590
4.333086,vel_pos,0,0.050000,1,-0.024702,0.050000,20.000,1.000,0.000,-0.026000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.086231,0.711112,-0.314213,0.000000,-1.168338,-0.055590
4.335159,vel_pos,0,0.050000,1,-0.024599,0.050000,20.000,1.000,0.000,-0.026000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.086231,0.711112,-0.314213,0.011501,-1.162588,-0.032587
4.337065,vel_pos,0,0.050000,1,-0.024503,0.050000,20.000,1.000,0.000,-0.026000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.086231,0.711112,-0.314213,0.011501,-1.162588,-0.032587
4.339092,vel_pos,0,0.050000,1,-0.024402,0.050000,20.000,1.000,0.000,-0.026000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.163013,0.701662,-0.315394,0.008626,-1.168338,-0.032587
4.341070,vel_pos,0,0.050000,1,-0.024303,0.050000,20.000,1.000,0.000,-0.026000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.163013,0.701662,-0.315394,0.008626,-1.168338,-0.032587
4.343105,vel_pos,0,0.050000,1,-0.024201,0.050000,20.000,1.000,0.000,-0.026000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.197269,0.707569,-0.315394,0.000000,-1.168338,-0.060382
4.345066,vel_pos,0,0.050000,1,-0.024103,0.050000,20.000,1.000,0.000,-0.026000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.197269,0.707569,-0.315394,0.000000,-1.168338,-0.060382
4.347065,vel_pos,0,0.050000,1,-0.024003,0.050000,20.000,1.000,0.000,-0.026000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.197269,0.707569,-0.315394,0.000000,-1.168338,-0.060382
4.349095,vel_pos,0,0.050000,1,-0.023902,0.050000,20.000,1.000,0.000,-0.026000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.197269,0.707569,-0.318937,0.000000,-1.187507,-0.044088
4.351071,vel_pos,0,0.050000,1,-0.023803,0.050000,20.000,1.000,0.000,-0.026000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.197269,0.707569,-0.318937,0.000000,-1.187507,-0.044088
4.353026,vel_pos,0,0.050000,1,-0.023705,0.050000,20.000,1.000,0.000,-0.025000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.005906,0.711112,-0.314213,0.000000,-1.187507,-0.044088
4.355152,vel_pos,0,0.050000,1,-0.023599,0.050000,20.000,1.000,0.000,-0.025000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.005906,0.711112,-0.314213,0.023961,-1.172172,-0.055590
4.357065,vel_pos,0,0.050000,1,-0.023503,0.050000,20.000,1.000,0.000,-0.025000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.005906,0.711112,-0.314213,0.023961,-1.172172,-0.055590
4.359059,vel_pos,0,0.050000,1,-0.023404,0.050000,20.000,1.000,0.000,-0.025000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.206719,0.712294,-0.314213,0.017252,-1.162588,-0.055590
4.361065,vel_pos,0,0.050000,1,-0.023303,0.050000,20.000,1.000,0.000,-0.025000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.206719,0.712294,-0.314213,0.017252,-1.162588,-0.055590
4.363088,vel_pos,0,0.050000,1,-0.023202,0.050000,20.000,1.000,0.000,-0.025000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.206719,0.712294,-0.314213,0.017252,-1.162588,-0.055590
4.365070,vel_pos,0,0.050000,1,-0.023103,0.050000,20.000,1.000,0.000,-0.025000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.206719,0.712294,-0.314213,0.017252,-1.162588,-0.085301
4.367063,vel_pos,0,0.050000,1,-0.023003,0.050000,20.000,1.000,0.000,-0.025000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.206719,0.712294,-0.314213,0.017252,-1.162588,-0.085301
4.369109,vel_pos,0,0.050000,1,-0.022901,0.050000,20.000,1.000,0.000,-0.025000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.154744,0.714656,-0.320119,0.000000,-1.170255,-0.056548
4.371066,vel_pos,0,0.050000,1,-0.022803,0.050000,20.000,1.000,0.000,-0.025000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.154744,0.714656,-0.320119,0.000000,-1.170255,-0.056548
