time_s,joint1_angle_rad,joint2_angle_rad,joint3_angle_rad,joint4_angle_rad,joint5_angle_rad,joint6_angle_rad,joint1_torque_nm,joint2_torque_nm,joint3_torque_nm,joint4_torque_nm,joint5_torque_nm,joint6_torque_nm,angle_ref_rad,vel_ref_rad_s,joint_id
0.9514711811207235,1.044,0.014,0.012,0.0,0.08600000000000001,0.003,0.146475,0.81624375,-0.8091562499999999,0.00670908,-1.1357514,-0.01533504,0.02581691029550012,0.12007865253720987,2
0.9595665521919727,1.044,0.014,0.012,0.0,0.08600000000000001,0.003,0.15001874999999998,0.7961624999999999,-0.8138812499999999,0.01054284,-1.13000076,-0.01533504,0.026057626105935178,0.12063715789784805,2
0.9634989588521421,1.044,0.014,0.012,0.0,0.08600000000000001,0.003,0.15001874999999998,0.7961624999999999,-0.8138812499999999,0.01054284,-1.13000076,-0.03067008,0.026299458927091516,0.12119566325848624,2
0.9664470329880714,1.044,0.014,0.012,0.0,0.08600000000000001,0.003,0.1535625,0.7961624999999999,-0.8138812499999999,0.004792199999999999,-1.13862672,-0.03067008,0.026542408758969124,0.12175416861912443,2
0.9698873180896044,1.044,0.014,0.012,0.0,0.08600000000000001,0.003,0.1535625,0.78789375,-0.8138812499999999,0.004792199999999999,-1.13862672,-0.01629348,0.02678647560156801,0.12231267397976262,2
0.9742441619746387,1.044,0.015,0.012,0.0,0.08600000000000001,0.003,0.14293124999999998,0.864675,-0.817425,-0.009584399999999998,-1.1357514,-0.02012724,0.027031659454888175,0.1228711793404008,2
0.9804884009063244,1.044,0.015,0.012,0.001,0.08600000000000001,0.003,0.14765625000000002,0.87766875,-0.8008875,-0.00862596,-1.12041636,-0.02012724,0.027277960318929616,0.12342968470103899,2
0.9897162858396769,1.044,0.015,0.012,0.001,0.08600000000000001,0.003,0.14883749999999998,0.911925,-0.8020687499999999,0.0287532,-1.12041636,-0.02012724,0.027525378193692333,0.12398819006167718,2
0.9947034739889205,1.044,0.016,0.012,0.0,0.08600000000000001,0.003,0.14883749999999998,0.8268749999999999,-0.80679375,0.01821036,-1.1357514,-0.02300256,0.027773913079176326,0.12454669542231536,2
0.9986627981998026,1.044,0.016,0.012,0.0,0.08600000000000001,0.003,0.14529375,0.8268749999999999,-0.80679375,0.01821036,-1.1357514,-0.02300256,0.028023564975381596,0.12510520078295354,2
1.001497589983046,1.044,0.016,0.012,0.0,0.08600000000000001,0.003,0.14529375,0.8268749999999999,-0.80679375,-0.009584399999999998,-1.14246048,-0.023961,0.028274333882308142,0.12566370614359174,2
1.0050900308415294,1.044,0.016,0.012,0.0,0.08600000000000001,0.003,0.146475,0.81151875,-0.80679375,-0.009584399999999998,-1.14246048,-0.01629348,0.02852621979995596,0.1262222115042299,2
1.011767074931413,1.044,0.016,0.012,0.001,0.08600000000000001,0.003,0.146475,0.85995,-0.8150624999999999,0.012459719999999999,-1.1434189199999998,-0.01629348,0.02877922272832506,0.1267807168648681,2
