t_s,phase,q_ref_target_rad,omega_ref_target_rad_s,q_target_rad,tau_ff_target_nm,tau_total_target_est_nm,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,tau_ff_1_nm,tau_ff_2_nm,tau_ff_3_nm,tau_ff_4_nm,tau_ff_5_nm,tau_ff_6_nm
0.781651,const_vel,0.088000,0.100000,-0.034000,2.755283,3.365283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
0.790306,const_vel,0.089000,0.100000,-0.034000,2.755283,3.370283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
0.801684,const_vel,0.090000,0.100000,-0.034000,2.755283,3.375283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
0.810229,const_vel,0.091000,0.100000,-0.034000,2.755283,3.380283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
0.822981,const_vel,0.092000,0.100000,-0.034000,2.755283,3.385283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
0.830699,const_vel,0.093000,0.100000,-0.034000,2.755283,3.390283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
0.842259,const_vel,0.094000,0.100000,-0.034000,2.755283,3.395283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
0.853422,const_vel,0.095000,0.100000,-0.034000,2.755283,3.400283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
0.860277,const_vel,0.096000,0.100000,-0.034000,2.755283,3.405283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
0.872605,const_vel,0.097000,0.100000,-0.034000,2.755283,3.410283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
